"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NCRNA00110",6.39056504508247,-2.73266514624705,0.264569498361235,1.33638785799759e-26,4.84222885680019e-26
"ANKRD32",192.22369607857,-0.624485264536131,0.0590091775840339,1.34417398920182e-26,4.8693652705118e-26
"WTAP",1637.86293464381,0.451969388074772,0.0425280816535825,1.34940865808236e-26,4.88724888905385e-26
"ALG10B",335.891192954909,-0.798880838622669,0.0759761757890331,1.38213346417328e-26,5.0046656098972e-26
"MAD2L1",555.698522066103,0.832736769816619,0.0793019296644992,1.38860405139821e-26,5.02698571067862e-26
"KSR2",79.8059166567892,-1.44582390760727,0.138406806890366,1.38995295647075e-26,5.03075868159527e-26
"DENND3",369.498730936675,0.760281070062714,0.0722051545350664,1.39604141528812e-26,5.05168041803904e-26
"CLDN2",9.97343796439031,1.99539760117427,0.191103082737208,1.41113113916664e-26,5.10515749354882e-26
"FCHO1",112.36518937565,1.41913902149101,0.13592598751802,1.42346777281216e-26,5.14865311520128e-26
"CD1D",33.0913805481253,0.99595558256896,0.0953907423124382,1.44584419326554e-26,5.22843525179337e-26
"RHOF",171.558079728325,1.39399995651328,0.133602369887072,1.47392869659382e-26,5.32881913383919e-26
"SCN2A",39.7987279800042,1.98294103721397,0.189979786621582,1.49413123120178e-26,5.40066870546556e-26
"GCNT3",11.2851255255123,2.30041432072832,0.221465664729866,1.49794288896771e-26,5.41325340553808e-26
"CUL1",1707.94880677867,0.405745917792416,0.0382152336525419,1.65315151236522e-26,5.97282913156974e-26
"MOSC2",231.771413690439,-0.950796417612767,0.0911039786436925,1.73785132487493e-26,6.27746647917277e-26
"FBXW7",401.089143963149,0.568461064015994,0.0537604902124533,1.77224800268479e-26,6.4003047089473e-26
"PKHD1",13.4582187882044,2.2188087163015,0.213698972925212,1.81713512549844e-26,6.56096576349347e-26
"PL.5283",1673.20055326631,0.537375684197274,0.0507942473648942,1.82864854663942e-26,6.6010832109433e-26
"TERT",9.79030559041129,1.92159078597279,0.184324492169871,1.83933912487651e-26,6.63821334771162e-26
"MCM4",2815.97333221774,0.882000464768488,0.0843630777054788,1.84393482680401e-26,6.65333545184032e-26
"ZC3H14",1279.80562928964,-0.448877964582427,0.0423518643682357,1.84851227740804e-26,6.6683850640695e-26
"PCK2",1258.47204762301,-0.718620721888841,0.0683195619620016,1.86510689708103e-26,6.72676966420848e-26
"NOV",161.620961763778,1.28207026106532,0.123304210834126,1.87786388494286e-26,6.77129068030725e-26
"STBD1",462.579821679795,-0.746231073293129,0.0710264793533582,1.89224960524705e-26,6.82166379667416e-26
"PUS1",409.454518863685,0.753546560051042,0.0717459503871456,1.90213153339646e-26,6.85578192535754e-26
"FUZ",380.443171939644,-0.798429327907434,0.0761572027682209,1.92161152208946e-26,6.9244713964924e-26
"CLDN12",1100.70535202099,-0.676279299667476,0.0642243962965712,1.95401177176616e-26,7.03967825439937e-26
"C11orf82",217.145430559409,0.94537288662668,0.0906663552707263,1.95496020897002e-26,7.04154859634064e-26
"WDR17",74.8607513470136,-2.00925761617151,0.193052389075427,1.97036834345207e-26,7.09548889959262e-26
"TIMM50",971.270297021977,0.66199497127412,0.0628529844247476,2.00878122281194e-26,7.23222967466731e-26
"ZNF350",300.72636021407,-0.712728563436754,0.0677916003610011,2.01433439270916e-26,7.25063134597505e-26
"IL13RA1",3583.88616937608,-0.587789805309894,0.0556991824022293,2.08840042587956e-26,7.51558406882457e-26
"MPP3",117.836777452188,-1.05093644340884,0.101134951396759,2.13785114972641e-26,7.69185619850017e-26
"TSNAX",1470.45304648442,-0.493001290209704,0.046628181304423,2.19877927472005e-26,7.90933693930549e-26
