"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"TNNT2",21.9974349450705,1.30127949827903,0.237219586177439,6.41031723398767e-10,2.27781793080156e-08,"Up"
"GPR26",102.407815147629,-1.68658155978904,0.325674166787876,6.53767991052396e-10,2.31804620377258e-08,"Down"
"ZDBF2",153.707720770292,-0.660795831943086,0.117323428980831,6.72828948309119e-10,2.37534719876114e-08,"Down"
"CA11",174.606239043039,-0.727339089497538,0.129988477159729,6.7712486468949e-10,2.38537256096313e-08,"Down"
"RGS7",5.67715807381641,-1.19032615096866,0.215176774055981,6.99650370310704e-10,2.45416974647958e-08,"Down"
"IYD",69.0042434589083,1.23395730563261,0.224542085306272,7.58797475633409e-10,2.63344522210824e-08,"Up"
"RAPGEFL1",437.645103950775,0.71851680997357,0.128835541911387,7.68478027888552e-10,2.661403504195e-08,"Up"
"TSKU",2384.97985602528,0.609650264871287,0.108163271031602,8.01316279946824e-10,2.7576390718086e-08,"Up"
"NECAB1",50.5006587240809,-0.734002683125125,0.132179764173037,8.48455641351325e-10,2.90157658893028e-08,"Down"
"ADRA1D",8.27274849911029,-0.882416991141032,0.159690169468789,8.7674498812135e-10,2.99207492716997e-08,"Down"
"FGFR1",3254.25357231744,-0.615842071450961,0.109682761304696,8.8357944616051e-10,3.00288691028119e-08,"Down"
"NTRK3",119.839453970048,-1.01560560240272,0.184080159582401,9.38897333696756e-10,3.17770190563772e-08,"Down"
"FMN2",10.5270108382693,-1.00237002167976,0.18169434118341,9.42511590481848e-10,3.18335718838828e-08,"Down"
"SLIT1",121.419617849867,-1.23584862700705,0.226708338438594,9.56512343053746e-10,3.2239976731612e-08,"Down"
"TEX19",6.55453229586453,1.05372825507515,0.191402721717027,9.87513813545091e-10,3.31484913518077e-08,"Up"
"C2orf73",3.97107495620455,-0.864971557743015,0.157528302506141,1.06396687410794e-09,3.55508148679288e-08,"Down"
"C9orf152",613.419662450392,0.702173744441739,0.12705824545638,1.06943810623096e-09,3.56066374353036e-08,"Up"
"LOC150622",19.614626814313,1.51994594077166,0.291491835753158,1.0772434021443e-09,3.57937609949813e-08,"Up"
"CRIP1",6313.48067855149,0.669301138438249,0.120998054158745,1.15353724042649e-09,3.78536488558889e-08,"Up"
"DLK2",18.6817853131291,-0.876666734027999,0.160084464848135,1.15458553967406e-09,3.78536488558889e-08,"Down"
"TFPI2",322.832823206054,-1.13728064038126,0.208599311831598,1.19836030755785e-09,3.91169765583922e-08,"Down"
"GSDMA",16.1112345665454,0.751942763007523,0.137241264333385,1.24189446047616e-09,4.02841052615049e-08,"Up"
"PGBD5",197.946840442713,-0.776813080479938,0.142250667386276,1.32227105030042e-09,4.26380355806518e-08,"Down"
"NAGS",83.6083806248432,-0.594361603539435,0.106964081167926,1.32735835312375e-09,4.27179905354031e-08,"Down"
"CAPN13",674.337305551795,0.759440247592419,0.139318131016273,1.43200141654235e-09,4.56373836661094e-08,"Up"
"C6orf147",8.67494637931942,-0.737129001090239,0.13515060632629,1.4683128954519e-09,4.67037544473739e-08,"Down"
"BDKRB1",17.5929925380797,0.634545109906394,0.115240052130863,1.50655445735352e-09,4.77347554466307e-08,"Up"
"TSPAN1",1985.93258945304,0.816419004028268,0.150480122253826,1.55111205781107e-09,4.90516730096587e-08,"Up"
"PM20D2",293.676591835363,-0.62241084935356,0.113059430757769,1.58729200757115e-09,4.99222623874158e-08,"Down"
"ZBTB8B",6.34873076714703,-1.41202211439697,0.270162122287337,1.61548790251192e-09,5.0695991055647e-08,"Down"
"GJB1",110.601816640267,1.17350918044718,0.218065611453362,1.62498324850681e-09,5.0896463850459e-08,"Up"
"TSLP",10.1467536572604,-0.854676109827508,0.157893824181965,1.63845363837405e-09,5.12204371187125e-08,"Down"
"C1orf88",199.547115459684,-0.619149948880894,0.112553546917981,1.64498015282988e-09,5.12289351397458e-08,"Down"
"FAM198A",301.370322752559,-0.637470094679384,0.116165453594959,1.65221160387465e-09,5.12592391724823e-08,"Down"
"FA2H",129.63200216787,0.700237541475994,0.12880669934672,1.77585616868173e-09,5.46810148480741e-08,"Up"
"TCAM1P",27.1632254762408,1.25890327822644,0.236801540924008,1.81557633194997e-09,5.57991667798731e-08,"Up"
"FAM189A2",209.208510670877,-0.744151521441406,0.137653276698519,1.88948400650367e-09,5.7745592370404e-08,"Down"
"STXBP5L",8.88188251405881,-1.3173940031613,0.250185033216602,1.92809437096311e-09,5.88158545451523e-08,"Down"
"CACNB2",52.5291398529184,-0.743038201056066,0.137558477260502,1.93969369294122e-09,5.90597070335875e-08,"Down"
"C8orf79",96.6976878840396,-0.716527581127761,0.132512114191196,1.9954429999479e-09,6.0532132929901e-08,"Down"
"KNDC1",84.5041838937657,1.2459904621788,0.235101561324856,2.05849857478823e-09,6.20999358261621e-08,"Up"
"ADD2",70.4937592153972,-0.737431875180761,0.137090139517005,2.21902551615634e-09,6.63318558032062e-08,"Down"
"HPX",512.155058813919,0.957170360446996,0.179293241904776,2.47161260192089e-09,7.3346894985627e-08,"Up"
"SEMA6D",190.155586095696,-0.69239638500538,0.129100370835035,2.71116669636504e-09,8.00209399155959e-08,"Down"
"ASPHD1",89.5228549640623,-0.837248327819375,0.157674878318022,2.8833341561731e-09,8.46449763660781e-08,"Down"
"GCM1",10.3086112228855,0.950885483983937,0.17910972360741,2.89241414984667e-09,8.47596354000684e-08,"Up"
"NPAS3",52.4197525445912,-0.634148646289026,0.117788741819716,2.94782644690165e-09,8.5769706974593e-08,"Down"
"TAC1",9.91537144592536,-1.27003358136546,0.243884256125367,3.06222903143473e-09,8.8449489392926e-08,"Down"
"ARTN",83.2118654412964,-0.737142399137634,0.138841205210386,3.24770943174145e-09,9.33346108795732e-08,"Down"
"FREM2",172.552810447815,-1.13333814580552,0.215737016837013,3.41757403576158e-09,9.78728676220463e-08,"Down"
"A2ML1",305.727059406179,1.31954462559004,0.256437946599587,3.52301781501416e-09,1.00716500571984e-07,"Up"
"TRIM7",31.2320392392445,-0.697283945096967,0.131367435667057,3.60569171300967e-09,1.02543117970159e-07,"Down"
"C12orf69",16.8754835225473,-0.831597586281307,0.157969692256488,3.69338498306949e-09,1.04492814175581e-07,"Down"
"AMBP",36.9248482981626,1.03245606616763,0.196357701141189,3.72137532685721e-09,1.0510318832629e-07,"Up"
"COL2A1",1614.60078244961,-1.44014445012091,0.286012013298973,3.77806354840322e-09,1.06520583453344e-07,"Down"
"KIAA0802",314.406667453667,-0.603671855574641,0.112733932350736,3.84352805691499e-09,1.08180125601932e-07,"Down"
"ABCC11",1265.92111807913,1.09709558664842,0.209408666496108,3.87904025423831e-09,1.08992381483152e-07,"Up"
"ABO",15.8285031676832,-0.956809130756448,0.182470260329098,4.08146998794963e-09,1.14483835398293e-07,"Down"
"CXCL17",523.455091161543,1.13122726497761,0.217005932451797,4.21701479770328e-09,1.17830765772302e-07,"Up"
"AP3B2",92.4706725261877,-0.90283467789002,0.173029824053603,4.66651201955409e-09,1.29121414531128e-07,"Down"
