"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"FTSJ3",1503.89693162104,0.45207705192844,0.0579908919394233,5.49585924773438e-16,5.73424651828898e-14,"NS"
"DSG1",213.274940417044,-2.02555271132222,0.28052562092627,5.92249874152872e-16,6.14028176487228e-14,"Down"
"LGR6",240.139134792069,-1.37721195204189,0.182090538384725,5.99812885646603e-16,6.17958168539434e-14,"Down"
"DNAH9",14.3831752566322,-1.29562781826332,0.170249786910773,6.16355205008169e-16,6.31032163327426e-14,"Down"
"PHF12",1399.34907412632,0.388262563603182,0.0502838451637892,6.26380605295834e-16,6.37313086667767e-14,"NS"
"ZNF862",557.359678361584,-0.478053350726468,0.0614421536308025,6.44942011054645e-16,6.52147844634946e-14,"NS"
"APPBP2",1493.29820311159,0.511203047992201,0.0658023982163872,6.79370868914927e-16,6.82746883662296e-14,"NS"
"CLDN2",11.3970236612036,1.25643835333741,0.165045936801358,7.06276109007484e-16,7.05457862295829e-14,"Up"
"GRIA2",345.668302196008,-2.22587458136968,0.309506912732321,7.36786044173381e-16,7.31472253915404e-14,"Down"
"SLC25A27",63.4333207979566,-0.94435555269376,0.1241429194076,9.33371772432848e-16,9.2105801230256e-14,"Down"
"SERHL2",994.882006338916,1.45129344693961,0.195036186712769,1.02050887751443e-15,1.00101532470443e-13,"Up"
"IDI1",1395.51401363763,0.48881093878027,0.0634764473706716,1.19592649040883e-15,1.16609951424922e-13,"NS"
"FGFBP3",42.8688746410115,0.805439161588665,0.106649195036622,1.20567090547253e-15,1.16864468062399e-13,"Up"
"LRRC26",138.728967935528,1.26444426798473,0.16862208063941,1.62531199281182e-15,1.56613151495591e-13,"Up"
"RSAD1",873.55472878031,0.430827913005393,0.0564808039947008,1.82762179178738e-15,1.75077617375842e-13,"NS"
"CD1A",41.4798097246981,-1.55504799707187,0.213673040183343,1.95917106975793e-15,1.86588263335492e-13,"Down"
"SPATA20",1334.39388931307,0.60123065613261,0.0794858991020489,2.18836216783562e-15,2.07211333360204e-13,"Up"
"CACNB1",151.827235191535,0.660287397574792,0.0880403788585124,2.59524263395978e-15,2.44325687281007e-13,"Up"
"SLC25A18",34.4605851108368,1.12293745327815,0.150099662699459,2.63966120688378e-15,2.47087372742647e-13,"Up"
"ARHGAP36",58.9746558616214,-2.5239803427775,0.357612640831189,3.36231775884168e-15,3.12943904588554e-13,"Down"
"PRODH",388.744438835873,1.2900926298934,0.17478397392824,3.53230594035392e-15,3.26907929993998e-13,"Up"
"ELAC1",95.5040216433064,-0.44015317052924,0.0583768106360355,3.73391515228955e-15,3.43625079267726e-13,"NS"
"TRAF4",1997.5941562616,0.523669215063445,0.0694587897842198,3.8297152420617e-15,3.50472432291691e-13,"NS"
"KCNJ12",47.2324198986821,0.994167421434496,0.134263961811187,4.6199253286786e-15,4.20438871161578e-13,"Up"
"NUDT8",147.12760314254,0.925484984457275,0.125340395835995,4.89382044284145e-15,4.42904268918153e-13,"Up"
"RIC3",62.0492195034966,-1.21874321383515,0.165534967098348,5.22706417576711e-15,4.70464495951873e-13,"Down"
"LDLRAD1",4.08179081874854,1.53514638417663,0.214764563342422,5.62997850546951e-15,5.03959988514186e-13,"Up"
"ARMC4",18.6003140927815,-1.51005016893926,0.211268727707881,6.4681537051317e-15,5.72728788344662e-13,"Down"
"TIAF1",400.583086963023,0.603252499983958,0.0812991774876919,6.44100146074972e-15,5.72728788344662e-13,"Up"
"NTF3",19.0191292297604,-1.32882719135717,0.182672886152323,6.54397574232775e-15,5.76327239973499e-13,"Down"
"BCAS1",847.797932807514,1.1658321676065,0.158677770769644,6.67281030127755e-15,5.82519524783435e-13,"Up"
"IL28RA",122.572482707887,-0.565299925472699,0.0759584642875239,6.68540813499089e-15,5.82519524783435e-13,"NS"
"OTOR",5.89085583848285,1.68103907552577,0.239446868393965,6.78316502280912e-15,5.84815927571769e-13,"Up"
"TOM1L1",1338.5229342025,0.586828553467596,0.0790274372985647,6.76614175103242e-15,5.84815927571769e-13,"Up"
"GLYATL2",594.403356580578,1.50483995166915,0.210828366260889,7.14051631824255e-15,6.1240208277032e-13,"Up"
"DHRS13",349.009923135107,0.635452045519496,0.0861640247581063,7.577406029315e-15,6.46486917532339e-13,"Up"
"ACSF2",982.462149513496,0.684415844224667,0.0932685222088152,7.87890424676365e-15,6.68727100861323e-13,"Up"
"RAG1AP1",2028.02285068171,0.474271994204801,0.0637219536227879,8.44550102830471e-15,7.13122434766286e-13,"NS"
"TMEM62",821.555054659384,0.445981217632375,0.0603547398338303,1.17570289277663e-14,9.87650722388406e-13,"NS"
"ERAL1",1274.74618185626,0.40253261804534,0.0548915095789616,1.340750125026e-14,1.12055243867607e-12,"NS"
"MKX",199.247747537311,-1.50863152183856,0.214635460208927,1.52849508195026e-14,1.27097857550392e-12,"Down"
"DDX52",635.938828506243,0.38116836416215,0.0523502866195516,1.58133576323569e-14,1.30827581502848e-12,"NS"
"POLDIP2",2712.4714604357,0.379034137252008,0.052210254270896,1.8037372967804e-14,1.48477490746532e-12,"NS"
"SERPINA6",715.282586591441,-2.28849276589177,0.339307149767816,1.88267176647333e-14,1.54200231032998e-12,"Down"
"SP6",314.003539676221,0.752638223058801,0.104661698710373,1.90434503016437e-14,1.55199382781704e-12,"Up"
"C9orf169",30.2037601204468,1.00832042154585,0.139892655014417,1.98410726706438e-14,1.60899312583077e-12,"Up"
"C14orf184",5.53217609086055,1.00536851135391,0.140076027822877,2.46645783092688e-14,1.99029781913366e-12,"Up"
"ABHD15",387.140880158083,0.426166896823141,0.0586011417228278,2.50320136632793e-14,2.01004615597146e-12,"NS"
"ANKRD20A3",7.61649475710906,-0.979075785414893,0.136748328156059,2.72449992114976e-14,2.17707479065143e-12,"Down"
"LFNG",1236.21768714676,0.744442240410293,0.104254222681635,2.79952894236016e-14,2.22616910702921e-12,"Up"
"CHN1",293.623483617124,0.553175801201203,0.0763786683405586,3.10334560795756e-14,2.45584079246148e-12,"NS"
"STRADA",636.265555232959,0.348118209910826,0.0489351834034543,3.57756272965419e-14,2.81750264781083e-12,"NS"
"FDPS",2516.42650884398,0.381858298597204,0.0533108375411062,3.74599957130975e-14,2.9360391855323e-12,"NS"
"LOC644165",9.94977318725229,0.840116053174766,0.118529614730585,3.86251873443725e-14,3.0129485423246e-12,"Up"
"KIAA1409",7.83200902991865,-1.01662990122622,0.14390555426714,5.56779800232667e-14,4.32256393725655e-12,"Down"
"FGF10",57.4398190025808,-1.64890851011079,0.244639109387894,5.64148140025641e-14,4.35910881215096e-12,"Down"
"TNIK",390.504816180376,0.857099414677069,0.121989348793815,6.08947024099686e-14,4.68317427313472e-12,"Up"
"KATNAL2",80.4121003733346,-0.568083465673518,0.079768773959561,6.94844217020455e-14,5.31880519580004e-12,"NS"
"NEK8",123.584440060804,0.489068843036058,0.0685819213311641,8.21488086820649e-14,6.25897504660886e-12,"NS"
"SPRED2",1401.44663960821,0.438832371256391,0.0617930425414735,9.11947463015595e-14,6.91602379243447e-12,"NS"
"KGFLP2",85.4320644988493,-0.543225591946044,0.0766021549111079,9.61419206157999e-14,7.25760738067934e-12,"NS"
"CX3CR1",243.730230797979,-0.864829910841142,0.124268363917118,9.84037675819256e-14,7.36051194867362e-12,"Down"
