"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TBC1D2",543.831190919311,-0.540986250755373,0.0810328542175632,5.48139335879840e-12,1.837549463813e-11
"HTRA1",4967.62793019801,-0.748368063945,0.114811262533191,5.54719810819027e-12,1.85922947626982e-11
"ATXN7L1",224.449705604535,0.439692534241355,0.0651102816813301,5.55198510823392e-12,1.86045376364374e-11
"VPS16",958.246269495164,-0.368862423205521,0.0542664740018725,5.56856366223403e-12,1.86562805865247e-11
"MGC16142",11.2345325476053,0.452265041444571,0.0670671635918023,5.57615558875001e-12,1.86779007805323e-11
"MYO1E",1324.4343623187,0.430824968719913,0.0637677263923228,5.66865288980767e-12,1.89838532771571e-11
"KIAA1462",940.949322142411,-0.557911678793832,0.0838245466950364,5.72054687046597e-12,1.91537314383044e-11
"ZFYVE19",592.55356169433,-0.447533016432076,0.0663744936684296,5.74447295735748e-12,1.92299163101091e-11
"CEP152",116.734546844059,0.484300518899305,0.072188753807514,5.99746518957559e-12,2.00727242408913e-11
"TET3",1172.51654301343,0.477122685607417,0.0710629407186995,6.0080130667431e-12,2.01039245886958e-11
"GPR1",45.4671856660065,-0.96528623900872,0.149874508955446,6.02633925941525e-12,2.01611345853943e-11
"MRPS30",719.114441257663,-0.633040330338531,0.0961299930021494,6.04715430140076e-12,2.0226646004461e-11
"IL19",6.1373414213488,-2.07747108577134,0.327440645287417,6.0635759700464e-12,2.02774386619105e-11
"MFAP2",1520.48593571767,0.742910803435132,0.114159736308592,6.07911312313739e-12,2.03252532733026e-11
"ASXL3",9.32905898632742,1.36728228888007,0.212194327707765,6.14971245908202e-12,2.05571089191609e-11
"CNIH3",86.8582635709313,-0.758130400515523,0.116698784312826,6.1895510267866e-12,2.06860646887491e-11
"MAGEF1",1339.12249430295,0.451671460756546,0.0671301089089654,6.20706922116783e-12,2.07403863179499e-11
"C21orf58",168.125748951262,0.61725221432771,0.0936079134445453,6.21265438884979e-12,2.07548207617725e-11
"PSD4",1276.07752823564,-0.425345324324216,0.0630527184617776,6.24303787779523e-12,2.08520770330839e-11
"THAP11",636.018441110147,0.304928994624583,0.0447652539222745,6.27487539890591e-12,2.0954149260638e-11
"RHOT1",886.224737027113,-0.461368617199407,0.0686642633862099,6.29295165216549e-12,2.10102352840363e-11
"SC5DL",1065.28540986538,-0.626083054506287,0.0950866702740544,6.31816307589784e-12,2.10901157781751e-11
"F2RL2",404.024307573528,-1.0088493885165,0.156881851019774,6.33162619893677e-12,2.11307557560854e-11
"PACSIN3",976.142817816235,0.64821641558011,0.0987220555200029,6.3475373779985e-12,2.11795475206081e-11
"CPE",1725.54583911736,-0.778326430947575,0.120074186305064,6.36095370783712e-12,2.12199966787985e-11
